,quote,author,category,quote_norm
0,"The sting of her abandonment had not lessened through the years, and I suspected it would never go away. Occasionally, I could see agony in her eyes, the shadows that flickered in the background. If I could, I'd take her pain and make it my own. I'd swallow it like a bitter pill and live with the consequences.","T.J. Forrester, Miracles, Inc.: A Novel","love, relationship, suffering","The sting of her abandonment had not lessened through the years, and I suspected it would never go away. Occasionally, I could see agony in her eyes, the shadows that flickered in the background. If I could, I would take her pain and make it my own. I would swallow it like a bitter pill and live with the consequences."
1,"Everything that falls upon the eye is an apparition, a sheet dropped over the world's true workings. The nerves & brain are tricked, and one is left with dreams that these specters loose their hands from ours and walk away...so familiar as to imply that they should be permanent fixtures of the world, when in fact nothing is more perishable...Why must we be left, the survivors picking among flotsam, among the small, unnoticed, unvalued clutter that remained when they vanished, that only catastrophe had made notable?...It seemed to me that what perished need not also be lost.",Marilynn Robinson in Housekeeping,"grief, loss, memory, remembering-the-good, time","Everything that falls upon the eye is an apparition, a sheet dropped over the world's true workings. The nerves brain are tricked, and one is left with dreams that these specters loose their hands from ours and walk away...so familiar as to imply that they should be permanent fixtures of the world, when in fact nothing is more perishable...Why must we be left, the survivors picking among flotsam, among the small, unnoticed, unvalued clutter that remained when they vanished, that only catastrophe had made notable?...It seemed to me that what perished need not also be lost."
2,I don't hate Republicans as individuals. But I hate what the Republicans are doing to this country. I really do. ,Howard Dean,"politics, republicans",I do not hate Republicans as individuals. But I hate what the Republicans are doing to this country. I really do.
3,Think More Not Less.,Jelani Payne,"critical-thinking, perspective",Think More Not Less.
4,"Some individuals have the courage to make it, even feel the need to do so; for them the quest is a necessity, not an option. Most people setting out on such journeys are never heard from again, but part of the romance of any field lies in keeping the dream alive, in not settling for what is familiar and comfortable.","Gino Segrè, Ordinary Geniuses: Max Delbruck, George Gamow, and the Origins of Genomics andBig Bang Cosmology","comfortable, dream, inspirational, journey, journeys, leadership, motivation, motivational, success","Some individuals have the courage to make it, even feel the need to do so; for them the quest is a necessity, not an option. Most people setting out on such journeys are never heard from again, but part of the romance of any field lies in keeping the dream alive, in not settling for what is familiar and comfortable."
5,"Life is magic.I knew, without having to ask, what she meant. Life was not the magic of spells or enchantments or sorcery; or, it was, but that was not the point. Life created magic as an accidental by-product, it wasn't, definite article, absolute statement, A=B, magic. Life was magic in a more mundane sense of the word; the act of living being magic all of its own.This was something we instinctively understood - it simply hadn't occurred to us that it might need explaining.","Kate Griffin, A Madness of Angels","life, magic","Life is magic.I knew, without having to ask, what she meant. Life was not the magic of spells or enchantments or sorcery; or, it was, but that was not the point. Life created magic as an accidental by-product, it was not, definite article, absolute statement, AB, magic. Life was magic in a more mundane sense of the word; the act of living being magic all of its own.This was something we instinctively understood - it simply had not occurred to us that it might need explaining."
6,Books are all the dreams we would most like to have and like dreams they have the power to change consciousness. ,"Victor Nell, Lost in a Book: The Psychology of Reading for Pleasure","books, victor-nell",Books are all the dreams we would most like to have and like dreams they have the power to change consciousness.
7,"It is madness. But sometimes, madness is the only path forward.","Anne Fortier, The Lost Sisterhood","carry-on, madness, path-forward","It is madness. But sometimes, madness is the only path forward."
8,"I didn't care whether I had gotten dressed, or what state my hair was in or anything– it didn't matter. I felt close to him, and I'd come to regard him as just another part of the scenery.","Banana Yoshimoto, The Lake","home, love","I did not care whether I had gotten dressed, or what state my hair was in or anything it did not matter. I felt close to him, and I would come to regard him as just another part of the scenery."
9,"Before you tell your life what you intend to do with it, listen for what it intends to do with you. Before you tell your life what truths and values you have decided to live up to, let your life tell you what truths you embody, what values you represent.","Parker J. Palmer, Let Your Life Speak: Listening for the Voice of Vocation","life, truth, values","Before you tell your life what you intend to do with it, listen for what it intends to do with you. Before you tell your life what truths and values you have decided to live up to, let your life tell you what truths you embody, what values you represent."
10,"Was I heartbroken or furious? I didn’t know. I did know: that’s it. Our relationship could not continue like this, out of balance, unequal.And as surely as I knew this, I knew something else: But of course it can. We can continue to live exactly as we do right now, in a heavy-lidded state of love and unspeakable compromise. Isn’t that what people do? Every day? Don’t they ache but rename it tired?It made me wonder: Was it even fair to expect the person you’re with to be just as happy as you? Furthermore, how could you ever even know for sure? You couldn’t, was the truth of it. You could not know this.","Augusten Burroughs, Lust & Wonder","breakup, furious, happy, heartbreak, love","Was I heartbroken or furious? I did not know. I did know: that is it. Our relationship could not continue like this, out of balance, unequal.And as surely as I knew this, I knew something else: But of course it can. We can continue to live exactly as we do right now, in a heavy-lidded state of love and unspeakable compromise. Is Not that what people do? Every day? Do Not they ache but rename it tired?It made me wonder: Was it even fair to expect the person you are with to be just as happy as you? Furthermore, how could you ever even know for sure? You could not, was the truth of it. You could not know this."
11,"While we love, we ought to love.",Lailah Gifty Akita,"christian, inspiring, lessons-learnt, life, living, love","While we love, we ought to love."
12,"For me, utter failure is to make a film that people pay their money to go see and they don't like.",Peter Jackson,"Money, Me, People ","For me, utter failure is to make a film that people pay their money to go see and they do not like."
13,I NEVER KNEW YOU.Only those who do not practice sin can stand in the presence of the holy God.1 John 3:6No one who remains in Him keeps on sinning. No one who continues to sin has seen Him or known Him.,Mac Canoza,"christianity-faith, church-leadership, hindrances-in-worship, inspirational-quotes, leadership, quotes, spirituality, wisdom-quotes, worship-leading, worship-team",I NEVER KNEW YOU.Only those who do not practice sin can stand in the presence of the holy God.1 John 3:6No one who remains in Him keeps on sinning. No one who continues to sin has seen Him or known Him.
14,"The more I want to be oblivious, the less I can be. Life and light will not let me be.",F. Scott Fitzgerald,"life, self, tender-is-the-night","The more I want to be oblivious, the less I can be. Life and light will not let me be."
15,"Intimacy cannot be expressed discursively. The swelling to the bursting point, the malice that breaks out with clenched teeth and weeps; the sinking feeling that doesn't know where it comes from or what it's about; the fear that sings its head off in the dark; the white-eyed pallor, the sweet sadness, the rage and the vomiting...are so many evasions. What is intimate, in the strong sense, is what has the passion of an absence of individuality, the imperceptible sonority of a river, the empty limpidity of the sky",Georges Bataille,"emotions, intimacy, passion","Intimacy cannot be expressed discursively. The swelling to the bursting point, the malice that breaks out with clenched teeth and weeps; the sinking feeling that does not know where it comes from or what it is about; the fear that sings its head off in the dark; the white-eyed pallor, the sweet sadness, the rage and the vomiting...are so many evasions. What is intimate, in the strong sense, is what has the passion of an absence of individuality, the imperceptible sonority of a river, the empty limpidity of the sky"
16,For a long time things were so bad. Very bad. Dark even when there was light.The only thing that kept the dark back was the Forever Shiny Thing that was her secret...It is a word...the word hangs on a silver chain. The word is HOPE.,"Dean Koontz, The Darkest Evening of the Year","grief-and-loss, hope",For a long time things were so bad. Very bad. Dark even when there was light.The only thing that kept the dark back was the Forever Shiny Thing that was her secret...It is a word...the word hangs on a silver chain. The word is HOPE.
17,We will never be more that we have been destined to be! ,Sorin Cerin,wisdom,We will never be more that we have been destined to be!
18,"And now these three remain: faith, hope and love. But the greatest of these is love.","Anonymous, Holy Bible: King James Version","faith, god, hope, love","And now these three remain: faith, hope and love. But the greatest of these is love."
19,Each way of being is more valued in the presence of the other. This balance between making camp and following the seasons is both very ancient and very new. We all need both.,"Gloria Steinem, My Life on the Road","balance, home, travel",Each way of being is more valued in the presence of the other. This balance between making camp and following the seasons is both very ancient and very new. We all need both.
20,Man is the artificer of his own happiness.,Henry David Thoreau,"self, reliance",Man is the artificer of his own happiness.
