,user_id,quote_id,liked
0,0,0,0.9
1,1,0,1.0
2,2,0,0.8
3,3,0,0.8
4,4,0,0.9
5,5,0,0.6
6,6,0,0.7
7,7,0,0.6
8,8,0,0.8
9,9,0,0.5
10,10,0,0.4
11,11,0,0.7
12,12,0,0.5
13,13,0,0.9
14,14,0,0.5
15,15,0,0.4
16,0,1,0.9
17,1,1,1.0
18,2,1,0.8
19,3,1,0.7
20,4,1,0.6
21,5,1,0.9
22,6,1,0.7
23,7,1,1.0
24,8,1,0.5
25,9,1,0.4
26,10,1,0.3
27,11,1,0.4
28,12,1,0.5
29,13,1,0.5
30,14,1,0.6
31,15,1,0.4
32,0,2,0.8
33,1,2,0.9
34,2,2,1.0
35,3,2,0.7
36,4,2,0.9
37,5,2,0.6
38,6,2,0.8
39,7,2,0.5
40,8,2,0.6
41,9,2,0.4
42,10,2,0.3
43,11,2,0.7
44,12,2,0.5
45,13,2,0.8
46,14,2,0.7
47,15,2,0.4
48,0,3,0.8
49,1,3,0.9
50,2,3,1.0
51,3,3,0.7
52,4,3,0.9
53,5,3,1.0
54,6,3,1.0
55,7,3,0.9
56,8,3,0.6
57,9,3,0.5
58,10,3,0.4
59,11,3,0.7
60,12,3,0.6
61,13,3,0.8
62,14,3,1.0
63,15,3,0.5
64,0,4,0.9
65,1,4,1.0
66,2,4,1.0
67,3,4,0.7
68,4,4,0.8
69,5,4,0.9
70,6,4,0.8
71,7,4,0.9
72,8,4,0.6
73,9,4,0.5
74,10,4,0.6
75,11,4,0.7
76,12,4,0.4
77,13,4,0.6
78,14,4,0.9
79,15,4,0.5
80,0,5,0.9
81,1,5,1.0
82,2,5,1.0
83,3,5,0.8
84,4,5,0.9
85,5,5,0.7
86,6,5,0.8
87,7,5,0.6
88,8,5,0.7
89,9,5,0.5
90,10,5,0.4
91,11,5,0.9
92,12,5,0.3
93,13,5,0.8
94,14,5,0.5
95,15,5,0.3
96,0,6,0.9
97,1,6,1.0
98,2,6,0.9
99,3,6,0.8
100,4,6,0.8
101,5,6,0.7
102,6,6,0.6
103,7,6,0.6
104,8,6,0.7
105,9,6,0.5
106,10,6,0.4
107,11,6,0.9
108,12,6,0.5
109,13,6,0.7
110,14,6,0.5
111,15,6,0.4
112,0,7,0.8
113,1,7,0.9
114,2,7,0.9
115,3,7,0.8
116,4,7,0.7
117,5,7,0.6
118,6,7,0.8
119,7,7,0.7
120,8,7,0.5
121,9,7,0.6
122,10,7,0.7
123,11,7,0.8
124,12,7,0.4
125,13,7,0.5
126,14,7,0.7
127,15,7,0.5
128,0,8,0.9
129,1,8,1.0
130,2,8,0.8
131,3,8,0.9
132,4,8,0.7
133,5,8,0.5
134,6,8,0.6
135,7,8,0.4
136,8,8,0.8
137,9,8,0.4
138,10,8,0.3
139,11,8,0.9
140,12,8,0.3
141,13,8,0.8
142,14,8,0.4
143,15,8,0.3
144,0,9,0.9
145,1,9,1.0
146,2,9,0.9
147,3,9,0.8
148,4,9,0.8
149,5,9,0.7
150,6,9,0.6
151,7,9,0.7
152,8,9,0.6
153,9,9,0.5
154,10,9,0.4
155,11,9,0.6
156,12,9,0.5
157,13,9,0.7
158,14,9,0.6
159,15,9,0.4
160,0,10,0.9
161,1,10,1.0
162,2,10,0.9
163,3,10,0.8
164,4,10,0.8
165,5,10,0.7
166,6,10,0.6
167,7,10,0.8
168,8,10,0.7
169,9,10,0.5
170,10,10,0.4
171,11,10,0.8
172,12,10,0.5
173,13,10,0.8
174,14,10,0.6
175,15,10,0.4
176,0,11,0.9
177,1,11,1.0
178,2,11,0.8
179,3,11,0.7
180,4,11,0.9
181,5,11,0.5
182,6,11,0.6
183,7,11,0.4
184,8,11,0.8
185,9,11,0.4
186,10,11,0.3
187,11,11,0.7
188,12,11,0.6
189,13,11,0.9
190,14,11,0.5
191,15,11,0.4
192,0,12,0.8
193,1,12,0.9
194,2,12,0.9
195,3,12,0.7
196,4,12,0.8
197,5,12,0.6
198,6,12,0.7
199,7,12,0.8
200,8,12,0.7
201,9,12,0.5
202,10,12,0.6
203,11,12,0.8
204,12,12,0.5
205,13,12,0.8
206,14,12,0.9
207,15,12,0.7
208,0,13,0.8
209,1,13,0.7
210,2,13,0.6
211,3,13,0.5
212,4,13,0.9
213,5,13,0.4
214,6,13,0.3
215,7,13,0.7
216,8,13,0.8
217,9,13,0.2
218,10,13,0.3
219,11,13,0.6
220,12,13,0.9
221,13,13,0.8
222,14,13,0.7
223,15,13,0.8
224,0,14,0.9
225,1,14,1.0
226,2,14,0.8
227,3,14,0.7
228,4,14,0.8
229,5,14,0.6
230,6,14,0.7
231,7,14,0.5
232,8,14,0.6
233,9,14,0.4
234,10,14,0.3
235,11,14,0.7
236,12,14,0.5
237,13,14,0.6
238,14,14,0.4
239,15,14,0.3
240,0,15,0.9
241,1,15,1.0
242,2,15,0.8
243,3,15,0.9
244,4,15,0.7
245,5,15,0.6
246,6,15,0.6
247,7,15,0.5
248,8,15,0.4
249,9,15,0.3
250,10,15,0.3
251,11,15,0.7
252,12,15,0.2
253,13,15,0.5
254,14,15,0.4
255,15,15,0.2
256,0,16,0.9
257,1,16,1.0
258,2,16,0.9
259,3,16,0.8
260,4,16,0.8
261,5,16,0.5
262,6,16,0.6
263,7,16,0.7
264,8,16,0.8
265,9,16,0.4
266,10,16,0.3
267,11,16,0.8
268,12,16,0.6
269,13,16,0.9
270,14,16,0.7
271,15,16,0.5
272,0,17,0.8
273,1,17,0.9
274,2,17,0.7
275,3,17,0.6
276,4,17,0.8
277,5,17,0.5
278,6,17,0.4
279,7,17,0.6
280,8,17,0.7
281,9,17,0.3
282,10,17,0.2
283,11,17,0.5
284,12,17,0.4
285,13,17,0.7
286,14,17,0.5
287,15,17,0.3
288,0,18,0.9
289,1,18,1.0
290,2,18,0.8
291,3,18,0.7
292,4,18,0.9
293,5,18,0.5
294,6,18,0.6
295,7,18,0.4
296,8,18,0.8
297,9,18,0.3
298,10,18,0.4
299,11,18,0.8
300,12,18,0.5
301,13,18,0.9
302,14,18,0.5
303,15,18,0.4
304,0,19,0.9
305,1,19,1.0
306,2,19,0.9
307,3,19,0.8
308,4,19,0.9
309,5,19,0.7
310,6,19,0.6
311,7,19,0.5
312,8,19,0.8
313,9,19,0.4
314,10,19,0.3
315,11,19,0.8
316,12,19,0.5
317,13,19,0.9
318,14,19,0.6
319,15,19,0.4
320,0,20,0.9
321,1,20,1.0
322,2,20,1.0
323,3,20,0.8
324,4,20,0.9
325,5,20,0.7
326,6,20,0.8
327,7,20,0.8
328,8,20,0.8
329,9,20,0.6
330,10,20,0.5
331,11,20,0.9
332,12,20,0.6
333,13,20,0.8
334,14,20,0.7
335,15,20,0.5
336,0,21,0.8
337,1,21,0.9
338,2,21,0.9
339,3,21,0.7
340,4,21,0.8
341,5,21,0.5
342,6,21,0.6
343,7,21,0.7
344,8,21,0.6
345,9,21,0.4
346,10,21,0.3
347,11,21,0.7
348,12,21,0.4
349,13,21,0.7
350,14,21,0.5
351,15,21,0.4
352,0,22,0.9
353,1,22,1.0
354,2,22,1.0
355,3,22,0.8
356,4,22,0.9
357,5,22,0.5
358,6,22,0.6
359,7,22,0.4
360,8,22,0.7
361,9,22,0.5
362,10,22,0.5
363,11,22,0.9
364,12,22,0.3
365,13,22,0.8
366,14,22,0.4
367,15,22,0.3
368,0,23,0.9
369,1,23,1.0
370,2,23,1.0
371,3,23,0.8
372,4,23,0.8
373,5,23,0.6
374,6,23,0.9
375,7,23,0.5
376,8,23,0.4
377,9,23,0.7
378,10,23,0.8
379,11,23,1.0
380,12,23,0.3
381,13,23,0.5
382,14,23,0.6
383,15,23,0.4
384,0,24,0.6
385,1,24,0.8
386,2,24,0.7
387,3,24,0.5
388,4,24,0.4
389,5,24,0.9
390,6,24,0.8
391,7,24,0.7
392,8,24,0.5
393,9,24,0.6
394,10,24,0.5
395,11,24,0.4
396,12,24,0.3
397,13,24,0.4
398,14,24,0.6
399,15,24,0.3
400,0,25,0.8
401,1,25,0.9
402,2,25,1.0
403,3,25,0.9
404,4,25,0.8
405,5,25,0.5
406,6,25,0.6
407,7,25,0.5
408,8,25,0.8
409,9,25,0.4
410,10,25,0.5
411,11,25,1.0
412,12,25,0.4
413,13,25,0.9
414,14,25,0.6
415,15,25,0.4
416,0,26,0.9
417,1,26,1.0
418,2,26,0.9
419,3,26,0.8
420,4,26,1.0
421,5,26,0.7
422,6,26,0.6
423,7,26,0.5
424,8,26,0.9
425,9,26,0.4
426,10,26,0.3
427,11,26,0.8
428,12,26,0.6
429,13,26,1.0
430,14,26,0.5
431,15,26,0.4
432,0,27,0.9
433,1,27,1.0
434,2,27,0.8
435,3,27,0.7
436,4,27,0.8
437,5,27,0.6
438,6,27,0.5
439,7,27,0.7
440,8,27,0.8
441,9,27,0.4
442,10,27,0.3
443,11,27,0.6
444,12,27,0.5
445,13,27,0.8
446,14,27,0.6
447,15,27,0.4
448,0,28,0.9
449,1,28,1.0
450,2,28,0.8
451,3,28,0.7
452,4,28,0.6
453,5,28,0.5
454,6,28,0.4
455,7,28,0.7
456,8,28,0.8
457,9,28,0.3
458,10,28,0.2
459,11,28,0.5
460,12,28,0.4
461,13,28,0.6
462,14,28,0.3
463,15,28,0.2
464,0,29,0.8
465,1,29,0.9
466,2,29,1.0
467,3,29,0.7
468,4,29,0.8
469,5,29,0.6
470,6,29,1.0
471,7,29,0.5
472,8,29,0.4
473,9,29,0.3
474,10,29,0.4
475,11,29,0.9
476,12,29,0.2
477,13,29,0.5
478,14,29,0.6
479,15,29,0.3
480,0,30,0.7
481,1,30,0.6
